CODE;TYPE;DESCRIPTION
"EF010175";"Alphanumeric";"Material cover plate composite door"
"EF010176";"Logical";"Duo door"
"EF010177";"Logical";"Door set (double door)"
"EF010178";"Logical";"Ornament rack"
"EF010179";"Logical";"Letter slot possible"
"EF010180";"Alphanumeric";"Burglar resistance"
"EF010181";"Numeric";"Nominal duct width connection 1"
"EF010182";"Numeric";"Nominal duct height connection 1"
"EF010183";"Numeric";"Nominal duct width connection 2"
"EF010184";"Numeric";"Nominal duct height connection 2"
"EF010185";"Numeric";"Working length connection 6"
"EF010186";"Logical";"Safety lock"
"EF010188";"Logical";"Police certificate"
"EF010189";"Logical";"Narrow door lock"
"EF010190";"Alphanumeric";"Swing direction (according to DIN)"
"EF010191";"Alphanumeric";"Material front plate"
"EF010192";"Alphanumeric";"Model front plate"
"EF010193";"Numeric";"Length front plate"
"EF010194";"Numeric";"Thickness front plate"
"EF010195";"Alphanumeric";"Material latch bolt"
"EF010196";"Alphanumeric";"Material lock bolt"
"EF010197";"Logical";"Hook bolt"
"EF010198";"Alphanumeric";"Lock control"
"EF010199";"Alphanumeric";"Cylinder type"
"EF010200";"Numeric";"Depth lock case"
"EF010201";"Logical";"With strike box"
"EF010202";"Range";"Mandrel size"
"EF010203";"Logical";"Stepless adjustable"
"EF010204";"Logical";"Safety version"
"EF010205";"Numeric";"Max. vertical height"
"EF010206";"Alphanumeric";"Material cover cap"
"EF010209";"Alphanumeric";"Door strike"
"EF010210";"Alphanumeric";"Material bolt"
"EF010212";"Alphanumeric";"Plate type"
"EF010216";"Logical";"Thermal insulation"
"EF010217";"Logical";"Acoustic insulation"
"EF010220";"Logical";"Suitable for wall"
"EF010221";"Logical";"Suitable for facade"
"EF010222";"Logical";"Suitable for ceiling"
"EF010223";"Logical";"Suitable for floor"
"EF010224";"Alphanumeric";"Material upholstery front/top"
"EF010225";"Alphanumeric";"Material upholstery rear/bottom"
"EF010226";"Logical";"With nail flange (reinforced fixation strip)"
"EF010227";"Logical";"With decorative finish"
"EF010231";"Numeric";"Sound absorption coefficient ISO 354"
"EF010232";"Numeric";"Dynamic stiffness according to EN 29052-1"
"EF010233";"Numeric";"Max. moist absorption"
"EF010234";"Logical";"Attached with bituminised glass fibre"
"EF010236";"Logical";"With rebate"
"EF010237";"Logical";"Rimless"
"EF010239";"Alphanumeric";"Suitable for roofing"
"EF010240";"Alphanumeric";"Suitable for substructure"
"EF010241";"Numeric";"Gutter overhang"
"EF010242";"Numeric";"Span"
"EF010243";"Numeric";"Max. roofing load per m2"
"EF010245";"Numeric";"Thermal resistance value"
"EF010248";"Numeric";"Voluminous mass"
"EF010253";"Numeric";"Screw tensile strength"
"EF010255";"Alphanumeric";"Colour fastness according to greyscale (ISO 105 A02)"
"EF010256";"Logical";"Double sided coloured"
"EF010257";"Logical";"Double sided UV resistant"
"EF010258";"Numeric";"Specific mass"
"EF010259";"Alphanumeric";"Connection 6"
"EF010260";"Alphanumeric";"Material frame"
"EF010261";"Alphanumeric";"Material exterior finish"
"EF010262";"Alphanumeric";"Material interior finish"
"EF010263";"Alphanumeric";"Outside colour"
"EF010264";"Numeric";"Width window frame"
"EF010265";"Numeric";"Height upper part window frame"
"EF010266";"Numeric";"Height lower part window frame"
"EF010268";"Alphanumeric";"Type of glass"
"EF010269";"Logical";"Safety glass according to NEN 3569"
"EF010270";"Logical";"Fall safe"
"EF010271";"Logical";"Ornament glass"
"EF010272";"Logical";"Sun-/heat resistant"
"EF010273";"Numeric";"Ug-value"
"EF010274";"Numeric";"Uw-value"
"EF010275";"Numeric";"G-value"
"EF010276";"Numeric";"Rw-value"
"EF010277";"Numeric";"Air volume flow"
"EF010278";"Alphanumeric";"Adjustment ventilation"
"EF010282";"Logical";"With permanent flashing"
"EF010283";"Numeric";"Height window frame"
"EF010284";"Numeric";"Max. illuminated surface"
"EF010285";"Numeric";"Max. extension"
"EF010286";"Numeric";"Max. thickness roofing"
"EF010290";"Numeric";"Width throw-in"
"EF010292";"Logical";"Water- and wind tight"
"EF010293";"Numeric";"Height throw-in"
"EF010295";"Alphanumeric";"Surface protection hinge"
"EF010296";"Alphanumeric";"Model pin"
"EF010298";"Alphanumeric";"Model hinge"
"EF010299";"Logical";"Anti-burglary pin"
"EF010304";"Alphanumeric";"Pump system"
"EF010305";"Logical";"Adjustable nozzle"
"EF010306";"Logical";"With viewing window"
"EF010308";"Logical";"Portable"
"EF010310";"Numeric";"Cut angle"
"EF010311";"Logical";"With upright edge"
"EF010312";"Logical";"With angled upstanding edge"
"EF010313";"Logical";"With joint mesh"
"EF010314";"Numeric";"Width base plate"
"EF010315";"Numeric";"Length base plate"
"EF010316";"Logical";"Forward"
"EF010317";"Logical";"Backward"
"EF010319";"Numeric";"Impact energy"
"EF010320";"Numeric";"Max. angle of inclination"
"EF010323";"Alphanumeric";"Knife type"
"EF010325";"Numeric";"Max. spray tip"
"EF010326";"Logical";"With topping"
"EF010327";"Alphanumeric";"Material topping"
"EF010328";"Numeric";"Length saw blade"
"EF010330";"Numeric";"Saw depth"
"EF010331";"Logical";"With twine cord"
"EF010335";"Range";"Cut width"
"EF010336";"Alphanumeric";"Saw blade model"
"EF010337";"Alphanumeric";"Grain size"
"EF010338";"Numeric";"Thermal conductivity according to EN 1745 (90/90)"
"EF010339";"Alphanumeric";"Model wall cover"
"EF010340";"Alphanumeric";"Model end stone"
"EF010342";"Numeric";"Fall"
"EF010351";"Alphanumeric";"Material spout"
"EF010352";"Alphanumeric";"Material quality spout"
"EF010353";"Alphanumeric";"Material quality roof flashing"
"EF010354";"Alphanumeric";"Surface protection spout"
"EF010355";"Alphanumeric";"Surface protection roof flashing"
"EF010356";"Alphanumeric";"Production method roof flashing"
"EF010358";"Logical";"Constructive"
"EF010359";"Logical";"Suitable as plaster board"
"EF010361";"Alphanumeric";"Edge finishing long side"
"EF010362";"Alphanumeric";"Edge finishing head end"
"EF010363";"Range";"Covering width"
"EF010364";"Range";"Batten spacing"
"EF010365";"Numeric";"Min. roof pitch"
"EF010366";"Alphanumeric";"Colour visible surface"
"EF010368";"Range";"Number per square meter"
"EF010369";"Logical";"Fleece reinforced"
"EF010371";"Logical";"With double clasp"
"EF010372";"Range";"Number per meter"
"EF010373";"Numeric";"For gypsum board thickness"
"EF010374";"Range";"For plaster thickness"
"EF010376";"Alphanumeric";"Material wire mesh"
"EF010377";"Logical";"With toplayer"
"EF010378";"Logical";"Can be washed off"
"EF010379";"Logical";"SKG-mark"
"EF010380";"Range";"Door thickness with standard plate"
"EF010381";"Range";"Door thickness with SKG plate"
"EF010382";"Logical";"Only suitable for rolling shutter"
"EF010383";"Numeric";"Diameter button"
"EF010384";"Logical";"With ajar position"
"EF010385";"Numeric";"Knot diameter"
"EF010386";"Numeric";"Carrying capacity per 2"
"EF010387";"Numeric";"Carrying capacity per 3"
"EF010388";"Numeric";"Carrying capacity per 4"
"EF010389";"Logical";"Rising butt hinge"
"EF010390";"Alphanumeric";"Surface treatment hinge"
"EF010391";"Logical";"Narrow hinge"
"EF010395";"Alphanumeric";"Material arm"
"EF010396";"Alphanumeric";"Type of arm"
"EF010397";"Logical";"Adjustable opening damping"
"EF010398";"Logical";"Closing speed adjustable"
"EF010399";"Logical";"Adjustable end stop"
"EF010400";"Logical";"Adjustable spring pressure"
"EF010401";"Range";"Door opening"
"EF010403";"Numeric";"Max. exterior door width"
"EF010404";"Numeric";"Closing speed"
"EF010405";"Alphanumeric";"Fire resistant according to EN 1634-1"
"EF010406";"Alphanumeric";"Corrosion resistance"
"EF010407";"Numeric";"Max. interior door width"
"EF010408";"Alphanumeric";"For outside control"
"EF010409";"Alphanumeric";"For inside control"
"EF010410";"Logical";"Core pulling protection"
"EF010411";"Numeric";"Thickness interior backplate"
"EF010412";"Numeric";"Thickness exterior backplate"
"EF010414";"Numeric";"Number of pins"
"EF010415";"Logical";"Adjustable cylinder cam"
"EF010416";"Logical";"Anti-drill safety"
"EF010417";"Logical";"Anti picking safety"
"EF010418";"Logical";"Anti-snap safety"
"EF010419";"Logical";"Registration code on key"
"EF010420";"Logical";"With forced smoke and heat exhaust"
"EF010421";"Alphanumeric";"Surface treatment window frame"
"EF010422";"Numeric";"Max. light output"
"EF010423";"Alphanumeric";"Type of wave"
"EF010424";"Alphanumeric";"Number of walls"
"EF010425";"Alphanumeric";"Type of concrete"
"EF010426";"Alphanumeric";"Type of mortar"
"EF010427";"Alphanumeric";"Strength class according to EN 206-1"
"EF010428";"Alphanumeric";"Environmental class concrete rebar according to EN 206-1"
"EF010429";"Alphanumeric";"Environmental class concrete rebar carbonation according to EN 206-1"
"EF010430";"Alphanumeric";"Environmental class concrete rebar chloride and de-icing salts acc. to EN 206-1"
"EF010431";"Alphanumeric";"Environmental class concrete rebar seawater according to EN 206-1"
"EF010432";"Alphanumeric";"Environmental class concrete frost, with/without de-icing salts acc. to EN 206-1"
"EF010433";"Alphanumeric";"Environmental Class aggressive concrete according to EN 206-1"
"EF010434";"Alphanumeric";"Consistency Class size compaction according to EN 206-1"
"EF010435";"Alphanumeric";"Consistency class slump according to EN 206-1"
"EF010436";"Alphanumeric";"Consistency Class shake measure according to EN 206-1"
"EF010438";"Alphanumeric";"Type of cement"
"EF010439";"Numeric";"Proceeds"
"EF010440";"Logical";"Without crimp"
"EF010441";"Numeric";"Max. grain size"
"EF010442";"Logical";"Suitable for non-absorbent surfaces"
"EF010443";"Logical";"Suitable for absorbent surfaces"
"EF010444";"Logical";"Suitable for smooth surfaces"
"EF010445";"Logical";"Suitable for non-cohesive soil"
"EF010446";"Alphanumeric";"Binding agent"
"EF010447";"Alphanumeric";"Compressive strength according to EN 13813"
"EF010448";"Alphanumeric";"Bending strength according to EN 13813"
"EF010449";"Range";"Layer thickness"
"EF010450";"Logical";"Fibre-reinforced"
"EF010451";"Alphanumeric";"Mortar Application type EN 998-2"
"EF010452";"Alphanumeric";"Masonry mortar type EN 998-2"
"EF010453";"Alphanumeric";"Application class according to EN 1996-2"
"EF010454";"Alphanumeric";"Compressive strength according to EN 998-2"
"EF010455";"Alphanumeric";"Joint Thickness"
"EF010456";"Alphanumeric";"Initial water absorption (masonry)"
"EF010457";"Alphanumeric";"Quality"
"EF010459";"Logical";"Profiled"
"EF010460";"Alphanumeric";"Initial water suction according to EN 772-11"
"EF010465";"Numeric";"Nominal duct width branch"
"EF010466";"Numeric";"Nominal duct height branch"
"EF010467";"Logical";"With rebar ends"
"EF010468";"Alphanumeric";"For operating method"
"EF010471";"Alphanumeric";"Material quality hinge"
"EF010472";"Numeric";"Number of included keys"
"EF010473";"Logical";"With door handle plate"
"EF010474";"Numeric";"Height knob"
"EF010475";"Numeric";"Width knob"
"EF010476";"Numeric";"Number of layers surface treatment"
"EF010478";"Alphanumeric";"Fair-face sight side"
"EF010483";"Numeric";"Width gearbox"
"EF010484";"Numeric";"Length operating element"
"EF010486";"Numeric";"Height gearbox"
"EF010488";"Logical";"Diffuse glass"
"EF010489";"Logical";"Reflective glass"
"EF010491";"Numeric";"Thermal insulation (U)"
"EF010492";"Logical";"Under pressure processable"
"EF010493";"Range";"Temperature resistance longtime"
"EF010494";"Range";"Temperature resistance shorttime"
"EF010495";"Logical";"Two component version"
"EF010496";"Numeric";"Width upper flange"
"EF010497";"Numeric";"Width bottom flange"
"EF010498";"Numeric";"Diameter upper thread"
"EF010499";"Numeric";"Diameter diagonal thread"
"EF010500";"Numeric";"Diameter under thread"
"EF010502";"Alphanumeric";"Hinge point"
"EF010503";"Alphanumeric";"Material flooring"
"EF010504";"Range";"Fire resistance according to EN 1992-1-1"
"EF010505";"Logical";"With exhaust"
"EF010506";"Numeric";"Width roof opening"
"EF010507";"Numeric";"Length roof opening"
"EF010508";"Numeric";"Height roof upstand"
"EF010509";"Logical";"Roof upstand insulated"
"EF010510";"Logical";"With plastic shell"
"EF010512";"Alphanumeric";"Material plastic shell"
"EF010514";"Alphanumeric";"Number of layers plastic shell"
"EF010515";"Numeric";"Diameter hose tulle"
"EF010530";"Numeric";"Diameter roof opening"
"EF010531";"Alphanumeric";"Version corner"
"EF010532";"Logical";"With pipeline openings"
"EF010533";"Logical";"With pipes"
"EF010534";"Logical";"Suitable for clean brickwork"
"EF010535";"Alphanumeric";"Size spreading according to EN 1344"
"EF010536";"Alphanumeric";"Water absorption according to EN 1344"
"EF010544";"Logical";"Wired glass"
"EF010545";"Logical";"Hardened glass"
"EF010548";"Numeric";"Max. expansion"
"EF010549";"Logical";"Impregnated"
"EF010551";"Logical";"Suitable for plaster"
"EF010552";"Logical";"Suitable for plasterboard"
"EF010555";"Range";"Cavity size"
"EF010557";"Logical";"Spindle version"
"EF010558";"Logical";"Adjustable middle column"
"EF010560";"Alphanumeric";"Tripod head"
"EF010561";"Numeric";"Diameter tripod head"
"EF010562";"Alphanumeric";"Clamp method tripod legs"
"EF010563";"Alphanumeric";"Suitable for type of surface"
"EF010564";"Logical";"Solvent free"
"EF010565";"Logical";"Waterborne"
"EF010566";"Alphanumeric";"Colour after drying"
"EF010567";"Alphanumeric";"Moisture resistance according to EN 204"
"EF010568";"Logical";"Filled"
"EF010569";"Logical";"Suitable for PVC"
"EF010570";"Logical";"Suitable for PE"
"EF010571";"Logical";"Suitable for glassfibre plastic"
"EF010572";"Logical";"Suitable for coated steel"
"EF010573";"Logical";"Sprayable"
"EF010574";"Logical";"THF free"
"EF010575";"Numeric";"Max. temperature resistance at normal load"
"EF010576";"Numeric";"Max. temperature resistance at peak load"
"EF010577";"Numeric";"Suitable for max. pipe diameter"
"EF010578";"Logical";"Suitable for pressure"
"EF010579";"Numeric";"Gap fitting"
"EF010580";"Numeric";"Press fitting"
"EF010582";"Logical";"Suitable for sanding"
"EF010583";"Logical";"Suitable for load-bearing applications"
"EF010585";"Logical";"With double comb"
"EF010586";"Logical";"Suitable for concrete tile"
"EF010587";"Logical";"Suitable for ceramic tile"
"EF010588";"Logical";"Suitable for half round ridge"
"EF010589";"Logical";"Suitable for scale ridge tile"
"EF010591";"Range";"Drying time"
"EF010593";"Logical";"Reinforcement tape needed"
"EF010594";"Alphanumeric";"Processing method"
"EF010595";"Alphanumeric";"Class of the temperature control"
"EF010596";"Numeric";"Standing loss (S)"
"EF010597";"Numeric";"Seasonal space heating energy efficiency (Ns)"
"EF010598";"Numeric";"Collector efficiency"
"EF010599";"Numeric";"Water heating energy efficiency (Nwh)"
"EF010600";"Alphanumeric";"Amount of span fields"
"EF010601";"Logical";"Upholstery front/top vapor-tight"
"EF010602";"Logical";"Upholstery rear/bottom damp proof"
"EF010603";"Logical";"With bucket hook"
"EF010604";"Numeric";"Max. width paint roller"
"EF010605";"Logical";"With paint grid"
"EF010606";"Alphanumeric";"Suitable for type plaster knife"
"EF010608";"Numeric";"Diameter handle"
"EF010610";"Numeric";"Distance facade - shoring prop"
"EF010611";"Alphanumeric";"Type adjustability"
"EF010612";"Logical";"With finger protection"
"EF010613";"Range";"Working height"
"EF010614";"Alphanumeric";"Rotation direction handle"
"EF010615";"Alphanumeric";"Position handle"
"EF010616";"Numeric";"Foot width"
"EF010617";"Numeric";"End bearing steel"
"EF010618";"Numeric";"End bearing masonry"
"EF010619";"Numeric";"End bearing concrete"
"EF010624";"Alphanumeric";"Material frame corner"
"EF010625";"Alphanumeric";"Colour netting"
"EF010626";"Logical";"Suitable for angled threshold"
"EF010627";"Numeric";"Height under strip"
"EF010628";"Logical";"With hinges"
"EF010629";"Alphanumeric";"Position hinge"
"EF010630";"Logical";"Wheelchair accessible"
"EF010631";"Alphanumeric";"Material rolling shutter"
"EF010637";"Range";"Consumption"
"EF010638";"Logical";"With Cam on the bottom"
"EF010639";"Numeric";"Width below left"
"EF010640";"Numeric";"Width above left"
"EF010641";"Numeric";"Width below right"
"EF010642";"Numeric";"Width above right"
"EF010643";"Numeric";"Total height links"
"EF010644";"Numeric";"Total height right"
"EF010645";"Numeric";"Height visible surface left"
"EF010646";"Numeric";"Height visible surface right"
"EF010647";"Numeric";"Number per 360 degree"
"EF010649";"Numeric";"Internal radius"
"EF010650";"Logical";"Composite formwork"
"EF010652";"Logical";"Cement with high sulphate resistance (SR)"
"EF010653";"Logical";"Cement with limited alkali (LA)"
"EF010654";"Logical";"Cement with low heat of hydration (LH)"
"EF010655";"Logical";"Cement with high initial strength (HES)"
"EF010656";"Alphanumeric";"Material quality outer pipe"
"EF010665";"Alphanumeric";"Material quality valve disc"
"EF010666";"Logical";"Suitable for electra"
"EF010667";"Logical";"Suitable for telecom"
"EF010668";"Logical";"Suitable for central antenna system"
"EF010669";"Alphanumeric";"Ring stiffness class"
"EF010670";"Numeric";"Standard Dimension Ratio (SDR)"
"EF010671";"Alphanumeric";"Surface protection connection 1"
"EF010672";"Alphanumeric";"Surface treatment connection 1"
"EF010673";"Alphanumeric";"Surface protection connection 2"
"EF010674";"Alphanumeric";"Surface treatment connection 2"
"EF010675";"Alphanumeric";"Material connection 3"
"EF010676";"Alphanumeric";"Material quality connection 3"
"EF010677";"Alphanumeric";"Surface protection connection 3"
"EF010678";"Alphanumeric";"Surface treatment connection 3"
"EF010679";"Numeric";"Wall thickness, connection 5"
"EF010680";"Numeric";"Wall thickness, connection 6"
"EF010681";"Alphanumeric";"Thread size tap connection"
"EF010682";"Numeric";"Diameter handwheel"
"EF010683";"Alphanumeric";"Material union nut"
"EF010685";"Range";"For inner pipe diameter"
"EF010690";"Logical";"Flow limiter"
"EF010692";"Numeric";"Number of cable screw gland plates"
"EF010733";"Alphanumeric";"Position control panel"
"EF010738";"Numeric";"Repeatability (+/-) according to ISO 9283"
"EF010746";"Numeric";"Degrees of freedom"
"EF010759";"Numeric";"Number of supports"
"EF010767";"Numeric";"Max. shorten length"
"EF010768";"Logical";"With filler hose set"
"EF010769";"Logical";"With pressure expansion vessel console"
"EF010772";"Numeric";"SEER (Seasonal Energy Efficiency Ratio) at average conditions"
"EF010773";"Numeric";"SEER (Seasonal Energy Efficiency Ratio) at colder conditions"
"EF010774";"Numeric";"SEER (Seasonal Energy Efficiency Ratio) at warmer conditions"
"EF010777";"Alphanumeric";"Capacity profile"
"EF010779";"Numeric";"Pump power consumption (solpump)"
"EF010780";"Numeric";"Pump power consumption standby (solstandbypump)"
"EF010781";"Alphanumeric";"Hot water tank class"
"EF010782";"Numeric";"Supplementary electricity consumption (Qaux)"
"EF010784";"Numeric";"SEER low temperature application (35 °C) at average conditions"
"EF010785";"Numeric";"SEER low temperature application (35 °C) at colder conditions"
"EF010786";"Numeric";"SEER low temperature application (35 °C) at warmer conditions"
"EF010787";"Numeric";"SEER middle temperature application (55 °C) at average conditions"
"EF010788";"Numeric";"SEER middle temperature application (55 °C) at colder conditions"
"EF010789";"Numeric";"SEER middle temperature application (55 °C) at warmer conditions"
"EF010790";"Numeric";"Yearly share of non-solar energy (Qnonsol) capacity profile M"
"EF010791";"Numeric";"Yearly share of non-solar energy (Qnonsol) capacity profile L"
"EF010792";"Numeric";"Yearly share of non-solar energy (Qnonsol) capacity profile XL"
"EF010793";"Numeric";"Yearly share of non-solar energy (Qnonsol) capacity profile XXL"
"EF010794";"Numeric";"Standby power consumption (solstandby)"
"EF010795";"Range";"Built-in height"
"EF010797";"Numeric";"Nominal duct diameter, inside connection"
"EF010798";"Numeric";"Nominal duct diameter, outside connection"
"EF010799";"Numeric";"1st order heat loss coefficient (a1)"
"EF010800";"Numeric";"2nd order heat loss coefficient (a2)"
"EF010801";"Numeric";"Incidence angle modifier (IAM)"
"EF010802";"Alphanumeric";"Inner conductor surface"
"EF010803";"Alphanumeric";"Outer conductor surface"
"EF010804";"Alphanumeric";"Conductor surface"
"EF010805";"Logical";"Coaxial cable"
"EF010807";"Numeric";"Wrench width 1"
"EF010808";"Numeric";"Wrench width 2"
"EF010810";"Logical";"Suitable for free-standing assembly"
"EF010811";"Range";"Number of cables"
"EF010814";"Range";"Burn time autonomous"
"EF010815";"Numeric";"Max. heated space"
"EF010816";"Numeric";"Content storage tank"
"EF010817";"Logical";"With connection for central heating"
"EF010827";"Numeric";"Centre distance connection"
"EF010829";"Numeric";"Outer radius"
"EF010835";"Numeric";"Width bottom side"
"EF010846";"Numeric";"Lamella distance"
"EF010852";"Numeric";"Max. label width"
"EF010853";"Numeric";"Max. label length"
"EF010854";"Logical";"With ty-rap"
"EF010855";"Alphanumeric";"Energy efficiency class room heating"
"EF010856";"Alphanumeric";"Energy efficiency class water heating"
"EF010867";"Numeric";"Luminous flux per meter"
"EF010871";"Range";"Flushing water quantity"
"EF010872";"Logical";"Suitable for cable gland"
"EF010880";"Alphanumeric";"Connection size hose/union nut"
"EF010881";"Alphanumeric";"Nominal diameter drainage connection"
"EF010882";"Alphanumeric";"Nominal diameter primary connection"
"EF010884";"Alphanumeric";"Touch technology"
"EF010896";"Alphanumeric";"Nominal diameter hot tap water"
"EF010897";"Numeric";"Supplementary electricity consumption at full load (ELmax)"
"EF010900";"Numeric";"Diameter floor drain"
"EF010904";"Logical";"With lifting gear"
"EF010910";"Numeric";"Useful heat emission at nom. heat emission, operation at high temperature (P4)"
"EF010911";"Numeric";"Useful efficiency at nominal heat emission, operation at high temperature (n4)"
"EF010912";"Numeric";"Supplementary electricity consumption in standby-mode (Psb)"
"EF010913";"Numeric";"Standby heat loss (Pstby)"
"EF010933";"Numeric";"COPd at Tj = +7 °C"
"EF010935";"Numeric";"Rail length"
"EF010966";"Numeric";"Width grid frame"
"EF010967";"Numeric";"Length grid frame"
"EF010968";"Numeric";"Height grid frame"
"EF010976";"Alphanumeric";"Shape of plenum"
"EF010977";"Logical";"Reverse (negative) T-piece model"
"EF010978";"Numeric";"Flow radius"
"EF011003";"Logical";"Finished top layer"
"EF011004";"Alphanumeric";"Direction drain plug"
"EF011011";"Logical";"Longitudinal water blocking cable"
"EF011012";"Logical";"Radial water blocking cable"
"EF011020";"Numeric";"Eye width"
"EF011021";"Logical";"Suitable for corner assembly left"
"EF011022";"Logical";"Suitable for corner assembly right"
"EF011039";"Logical";"Suitable for floor heating control"
"EF011040";"Logical";"Suitable for district heating control"
"EF011042";"Logical";"With presence perception"
"EF011061";"Logical";"With fall protection"
"EF011062";"Numeric";"Height ground level - inner bottom side pipe"
"EF011063";"Logical";"Flat bottom"
"EF011064";"Logical";"With solid shaft"
"EF011066";"Numeric";"Inner diameter pit floor"
"EF011067";"Numeric";"Outer diameter pit floor"
"EF011068";"Logical";"With telescope"
"EF011069";"Alphanumeric";"Pit floor colour"
"EF011070";"Alphanumeric";"Shaft colour"
"EF011071";"Alphanumeric";"Telescope colour"
"EF011072";"Logical";"IFTTT support available"
"EF011073";"Numeric";"Water dilution"
"EF011074";"Numeric";"Freezing point"
"EF011075";"Numeric";"Boiling point"
"EF011076";"Logical";"Contains inhibitors"
"EF011077";"Logical";"With pulling eye"
"EF011078";"Numeric";"Kvs value 1"
"EF011079";"Numeric";"Leakage loss of Kvs value 1"
"EF011080";"Numeric";"Kvs value 2"
"EF011081";"Numeric";"Leakage loss of Kvs value 2"
"EF011082";"Logical";"Reversing valve"
"EF011083";"Range";"Dead band (all ports closed)"
"EF011084";"Logical";"With integrated flow measurement"
"EF011085";"Logical";"Drive mounting in duct"
"EF011086";"Logical";"Delivery assembled"
"EF011099";"Logical";"With pictogram"
"EF011100";"Numeric";"Torque spring"
"EF011101";"Alphanumeric";"Material drive"
"EF011102";"Logical";"Form fit hollow spindle"
"EF011103";"Numeric";"Size of hollow spindle"
"EF011104";"Logical";"Locking in safety position"
"EF011105";"Alphanumeric";"Thermo-electrical safety fuse"
"EF011106";"Logical";"Shaft hole through-hole"
"EF011107";"Numeric";"Hollow spindle size shaft adapter"
"EF011108";"Numeric";"Number of auxiliary contacts"
"EF011109";"Alphanumeric";"Surface protection outside"
"EF011110";"Logical";"Suitable for central heating"
"EF011111";"Logical";"Suitable for heat pump"
"EF011113";"Logical";"With connection temperature sensor"
"EF011114";"Numeric";"Number of connections of temperature sensor"
"EF011115";"Alphanumeric";"Connection size temperature sensor"
"EF011116";"Logical";"With extra outlet"
"EF011117";"Numeric";"Number of temperature sensors"
"EF011118";"Logical";"Temperature sensors paired"
"EF011119";"Alphanumeric";"Type of pressure compensation"
"EF011121";"Numeric";"Weight without battery-pack"
"EF011123";"Alphanumeric";"Load class according to EN-13598-2"
"EF011125";"Range";"Idle rotational speed 1st gear"
"EF011126";"Range";"Idle rotational speed 2nd gear"
"EF011127";"Range";"Idle rotational speed 3rd gear"
"EF011129";"Numeric";"Delivery force"
"EF011130";"Numeric";"Max. milling diameter"
"EF011131";"Numeric";"Milling depth adjustment"
"EF011135";"Range";"Idle rotational speed 4th gear"
"EF011136";"Numeric";"Min. cutting length"
"EF011137";"Alphanumeric";"Display resolution"
"EF011142";"Numeric";"Max. bevel height steel 400 N/mm²"
"EF011143";"Numeric";"Max. bevel height steel 600 N/mm²"
"EF011144";"Numeric";"Max. bevel height steel 800 N/mm²"
"EF011145";"Numeric";"Max. bevel height aluminium 250 N/mm²"
"EF011147";"Numeric";"Min. inner radius"
"EF011149";"Numeric";"Blow speed"
"EF011157";"Numeric";"Max. work piece width"
"EF011158";"Numeric";"Max. work piece diameter"
"EF011160";"Numeric";"Brush width"
"EF011161";"Numeric";"Tool insertion"
"EF011162";"Range";"Drill diameter"
"EF011163";"Numeric";"Max. drill depth"
"EF011166";"Numeric";"Diameter of oscillating circuit 1"
"EF011167";"Numeric";"Diameter of oscillating circuit 2"
"EF011168";"Range";"Rim height"
"EF011169";"Range";"Fold height"
"EF011171";"Numeric";"Stroke rate"
"EF011175";"Numeric";"Max. grinding stone diameter"
"EF011176";"Numeric";"Min. plate thickness"
"EF011179";"Range";"Rim gap"
"EF011180";"Numeric";"Max. rim height"
"EF011188";"Numeric";"Fine setting"
"EF011192";"Numeric";"On-load speed 3rd gear"
"EF011207";"Numeric";"Milling width"
"EF011209";"Numeric";"Rebate depth"
"EF011210";"Numeric";"Max. axial milling depth"
"EF011211";"Numeric";"Max. radial milling depth"
"EF011212";"Numeric";"Grind flight cycle"
"EF011213";"Numeric";"Lateral milling height"
"EF011214";"Numeric";"Max. diameter of driver pad"
"EF011216";"Numeric";"Wrap angle"
"EF011217";"Numeric";"Max. diameter of mixing garde"
"EF011219";"Numeric";"Milling depth"
"EF011229";"Range";"Beveling angle continuously variable"
"EF011230";"Logical";"Beveling angle 45°"
"EF011231";"Logical";"Beveling angle 37.5°"
"EF011232";"Logical";"Beveling angle 30°"
"EF011233";"Numeric";"Max. discharge efficiency"
"EF011237";"Numeric";"Milling path across"
"EF011238";"Numeric";"Milling path along"
"EF011249";"Logical";"With flexible shaft"
"EF011254";"Logical";"With pipe-break safety function"
"EF011264";"Logical";"Front vise"
"EF011267";"Logical";"Tail vise"
"EF011271";"Numeric";"Thickness worktop"
"EF011274";"Numeric";"Min. contact area"
"EF011276";"Range";"Bandwidth"
"EF011277";"Logical";"Suitable for plastic band"
"EF011279";"Numeric";"Container volume waste water"
"EF011283";"Alphanumeric";"Coupling type"
"EF011290";"Range";"Cutting range"
"EF011296";"Logical";"Contains rip saw"
"EF011297";"Logical";"Contains Japanese saw"
"EF011306";"Logical";"Saw blade exchangeable"
"EF011307";"Alphanumeric";"Saw blade"
"EF011309";"Logical";"With plastic handle"
"EF011311";"Range";"Shank diameter"
"EF011312";"Logical";"With centre punch"
"EF011314";"Alphanumeric";"Blade material"
"EF011317";"Logical";"Cap rotatable"
"EF011318";"Numeric";"Outer hexagon socket (AF)"
"EF011326";"Numeric";"Diameter of plug-in peg"
"EF011327";"Numeric";"Number of brushes"
"EF011333";"Logical";"Can be shortened"
"EF011336";"Logical";"Suitable for assembly with street cover"
"EF011337";"Logical";"Replaceable mandrel"
"EF011339";"Numeric";"Length inserted"
"EF011340";"Numeric";"Extended length"
